vi1_quantization,vi2_batch_size,vi3_output_length,vi4_context_case,energy_mean,energy_std,throughput_mean,throughput_std,j_per_token_mean,j_per_token_std,tpot_mean,tpot_std,cv_throughput,n_reps,cei
fp16,1,64,A,244.24638322222222,8.541285079900977,53.41395555555556,0.4122634216174222,3.8650519341628082,0.13409284320198261,18.733666666666664,0.14254862718073155,0.007718271701271558,3,0.009051755313058641
fp16,1,64,B,272.0658722111111,3.3088389387111237,50.383091111111106,0.5380503471932889,4.251029253298611,0.05170060841736131,19.852666666666668,0.21334557256557496,0.010679184927473185,3,0.0077629021867941924
fp16,1,64,C,384.17503273333335,2.4344561636287643,40.61125555555555,0.33705862174492945,6.015014643553241,0.03910891325669215,24.63166666666667,0.21001269802879288,0.008299635584618706,3,0.004422248326938446
fp16,1,256,A,1052.8238722111112,10.765724471914451,54.58794,0.9833889278126139,4.786398188417989,0.05181187460578996,18.328333333333333,0.32823585693488583,0.0180147653091986,3,0.007470011644272105
fp16,1,256,B,809.700288911111,2.7117201867071308,53.84432,0.04933160886625701,4.7945806363731185,0.010729419763646665,18.578333333333333,0.017854348987789967,0.0009161896531752468,3,0.007355677302707257
fp16,1,256,C,1157.1583166333332,12.529820391456328,47.56034555555556,1.622557604436531,5.711049463307106,0.07823555693273407,21.13177777777778,0.7167469980817927,0.034115765675865654,3,0.005454594603868118
fp16,1,512,A,1348.3560932999999,4.126042348539346,55.80480555555556,0.014769139120830404,4.806172935050459,0.022427840772314692,17.923444444444446,0.005738111703855555,0.00026465712000602856,3,0.00760511182881627
fp16,1,512,B,931.4106631444444,7.796136750771998,53.540254444444436,0.6184469286611194,4.85481544228337,0.04527486152169469,18.688888888888886,0.2197297161244871,0.011551064429528348,3,0.0072233906858858495
fp16,1,512,C,1776.7683984444445,9.33156372150281,49.479322222222216,0.6009318204286587,5.644995720405997,0.03568400468334258,20.329222222222224,0.25496891604301136,0.012145110188246835,3,0.005741079008610257
fp16,4,64,A,261.6628916190476,4.710713830690869,196.5738619047619,0.6407074218987828,1.0397346726255743,0.01865455850219037,5.095714285714286,0.017142857142856904,0.0032593724093857358,3,0.12383307055223207
fp16,4,64,B,351.3174115714285,4.577323128800335,162.4426380952381,0.8795023010879905,1.3723336389508927,0.017880168471876307,6.156190476190477,0.03302235894778282,0.005414233057285972,3,0.0775307033080004
fp16,4,64,C,853.5738169047619,4.585852097099146,91.41932857142858,0.11811045332091624,3.334272722284226,0.017913484754293538,10.939523809523811,0.014309504001252924,0.0012919636926520754,3,0.017958510236323118
fp16,4,256,A,1179.3881414761906,4.265250938705741,182.51724285714286,2.0558424241310704,1.3555054402668176,0.00603721747242597,5.550952380952381,0.06347638695357712,0.01126382577310893,3,0.0881933893803735
fp16,4,256,B,1032.250716904762,0.5343516036162973,157.1118476190476,0.4041969868141752,1.5978936319582118,0.004188218427098896,6.447142857142857,0.017379321515137176,0.0025726703169721347,3,0.06440127547010545
fp16,4,256,C,1862.384924095238,11.926367408018994,129.48479523809524,1.0651348419315745,2.2327271138001374,0.012739819040976857,7.822857142857142,0.05981263261559481,0.008225945293213832,3,0.037985384487124144
fp16,4,512,A,1868.3985336190478,12.631216348377219,152.83172380952382,1.5037075941284024,1.715537654991773,0.01172768389011528,6.71047619047619,0.07384945156599759,0.009838975551977035,3,0.058350778591974496
fp16,4,512,B,1507.707101952381,16.865246531606736,135.4112619047619,4.9394647551959725,1.9095393275257777,0.02159337923730025,7.546190476190476,0.2835429396748498,0.0364775033163048,3,0.046447204117676597
fp16,4,512,C,3032.134735904762,28.888160911112706,121.99785714285713,2.67041493110822,2.3569218464600445,0.022591651335244947,8.40952380952381,0.18428755997599228,0.021889031444062308,3,0.03390317874070514
fp16,8,64,A,306.3226414444444,19.404056280531087,356.2177777777777,5.047783587799633,0.609558847360322,0.03842486867815837,2.81,0.04163331998932253,0.014170498786696229,3,0.38276599638868913
fp16,8,64,B,516.1715828888889,8.200174222611258,262.57376666666664,9.808786914859121,1.0081476228298611,0.016015965278537613,3.8122222222222226,0.14553859103853373,0.03735630957875242,3,0.17059276271248164
fp16,8,64,C,1547.2353954444445,9.41299075751361,113.96966666666667,1.1519090564990058,3.0219441317274307,0.01838474757326877,8.775555555555556,0.08513605668662506,0.010107154738532836,3,0.024702234816611567
fp16,8,256,A,1263.1144885555557,10.486109168284216,353.59605555555555,0.22527645320893497,0.7222025378041549,0.005976903912042027,2.828888888888889,0.001924500897298733,0.0006371011488093782,3,0.3206873288729358
fp16,8,256,B,1374.1917796666667,4.121246914576099,243.94983333333334,1.097895988293577,1.106125994083016,0.0033605110547131364,4.135555555555555,0.018358568490953478,0.004500499030033805,3,0.14445391813814953
fp16,8,256,C,2729.9363329999996,16.645535917938602,195.71232222222224,3.816291282461624,1.6097889420643516,0.010221505217334448,5.134444444444444,0.10095837059200508,0.019499494151055074,3,0.07963108423452785
fp16,8,512,A,2161.4452025555556,3.165208031427415,275.6061222222222,1.0345053312430559,0.9794080442126972,0.0016539788367986449,3.7433333333333336,0.006666666666666543,0.0037535644088810805,3,0.18431411387295024
fp16,8,512,B,1978.8882214444445,16.33238854961642,200.95790000000002,4.773533091374199,1.4026163205064197,0.013960526028081774,5.183333333333334,0.12128936932440171,0.02375389617115924,3,0.09384250550657715
fp16,8,512,C,4177.011121555555,33.37306037316674,193.78566666666666,4.443323516743339,1.5884930406986604,0.012590327335131957,5.337777777777777,0.12038518427361664,0.022929061747308476,3,0.07990422316213394
int4_awq,1,64,A,107.8014192,1.0921578613424376,105.00664555555556,0.6418083624098881,1.917275874053333,0.020083160318706213,9.574111111111112,0.08087736486896749,0.006112073755087511,3,0.035872824800882434
int4_awq,1,64,B,125.19991479999999,1.3565667156186882,93.80903888888889,0.06497184658102302,1.9562486687499998,0.021196354931542004,10.663111111111112,0.00733585815121965,0.0006925968686022091,3,0.03140899394656003
int4_awq,1,64,C,208.0087270222222,2.738351819034702,62.76230888888889,0.12976510065556304,3.505857632044402,0.042527831270606095,16.29411111111111,0.034964002652462925,0.002067564163155508,3,0.011725679912965487
int4_awq,1,256,A,333.7234261666667,1.3045121785607208,113.14156777777778,0.37813112441077007,2.0717179884422645,0.0016277425181774102,8.939888888888888,0.03571855000997157,0.0033421061051006253,3,0.03577049533472934
int4_awq,1,256,B,370.65058775555553,3.2243687745813463,111.01310222222223,0.5381642905422185,2.0369673540279307,0.017387269351864913,9.026111111111112,0.04134050117060873,0.004847754722365433,3,0.03569633009664319
int4_awq,1,256,C,547.0518727444445,4.316859847850747,88.86179444444444,0.6514056103989747,3.070125943827616,0.013651105653153157,12.053444444444445,0.08741366110710641,0.00733054755951646,3,0.018957989835754984
int4_awq,1,512,A,426.6461297444444,2.0201191078376,113.28596222222222,0.700577200237479,2.11817799642983,0.012082382436991704,8.97811111111111,0.14565458887127228,0.006184148384273987,3,0.03503055711368234
