task_id,task_type,quant,arm,ctx_media,quality_media,quality_std,n
SONDA_I,SONDA,AWQ,compaction,4545.0,1.0,0.0,3
SONDA_I,SONDA,AWQ,naive,5407.0,1.0,0.0,6
SONDA_I,SONDA,FP16,compaction,4507.0,1.0,0.0,3
SONDA_I,SONDA,FP16,naive,5475.0,1.0,0.0,6
SONDA_J,SONDA,AWQ,compaction,4342.0,1.0,0.0,3
SONDA_J,SONDA,AWQ,naive,5983.0,1.0,0.0,6
SONDA_J,SONDA,FP16,compaction,4167.0,1.0,0.0,3
SONDA_J,SONDA,FP16,naive,6059.5,1.0,0.0,6
T01,FACT,AWQ,compaction,3183.0,1.0,0.0,6
T01,FACT,AWQ,naive,3183.0,1.0,0.0,6
T01,FACT,FP16,compaction,3183.0,1.0,0.0,6
T01,FACT,FP16,naive,3183.0,1.0,0.0,6
T02,FACT,AWQ,compaction,3233.0,1.0,0.0,6
T02,FACT,AWQ,naive,3233.0,1.0,0.0,6
T02,FACT,FP16,compaction,3233.0,1.0,0.0,6
T02,FACT,FP16,naive,3233.0,1.0,0.0,6
T03,CLASSIFY,AWQ,compaction,3357.0,1.0,0.0,6
T03,CLASSIFY,AWQ,naive,3357.0,1.0,0.0,6
T03,CLASSIFY,FP16,compaction,3357.0,1.0,0.0,6
T03,CLASSIFY,FP16,naive,3357.0,1.0,0.0,6
T04,CONSTRAINT,AWQ,compaction,3687.0,0.9167,0.0,6
T04,CONSTRAINT,AWQ,naive,3687.0,0.9167,0.0,6
T04,CONSTRAINT,FP16,compaction,3684.0,0.875,0.0,6
T04,CONSTRAINT,FP16,naive,3684.0,0.875,0.0,6
T05,DRAFT,AWQ,compaction,4182.0,1.0,0.0,6
T05,DRAFT,AWQ,naive,4182.0,1.0,0.0,6
T05,DRAFT,FP16,compaction,4182.0,1.0,0.0,6
T05,DRAFT,FP16,naive,4182.0,1.0,0.0,6
T06,FACT,AWQ,compaction,4450.0,1.0,0.0,6
T06,FACT,AWQ,naive,4450.0,1.0,0.0,6
T06,FACT,FP16,compaction,4524.0,1.0,0.0,6
T06,FACT,FP16,naive,4524.0,1.0,0.0,6
T07,SUMMARIZE,AWQ,compaction,3608.0,1.0,0.0,6
T07,SUMMARIZE,AWQ,naive,4553.0,1.0,0.0,6
T07,SUMMARIZE,FP16,compaction,3596.0,1.0,0.0,6
T07,SUMMARIZE,FP16,naive,4642.0,1.0,0.0,6
T08,FACT,AWQ,compaction,3901.5,1.0,0.0,6
T08,FACT,AWQ,naive,4867.0,1.0,0.0,6
T08,FACT,FP16,compaction,3862.0,1.0,0.0,6
T08,FACT,FP16,naive,4919.5,1.0,0.0,6
T09,CONSTRAINT,AWQ,compaction,4176.5,1.0,0.0,6
T09,CONSTRAINT,AWQ,naive,5143.0,1.0,0.0,6
T09,CONSTRAINT,FP16,compaction,4138.0,1.0,0.0,6
T09,CONSTRAINT,FP16,naive,5196.5,1.0,0.0,6
T10,DRAFT,AWQ,compaction,3958.5,1.0,0.0,6
T10,DRAFT,AWQ,naive,5392.0,1.0,0.0,6
T10,DRAFT,FP16,compaction,3925.0,0.9445,0.0609,6
T10,DRAFT,FP16,naive,5448.5,1.0,0.0,6
T11,RECALL,AWQ,compaction,4417.5,1.0,0.0,6
T11,RECALL,AWQ,naive,5663.5,1.0,0.0,6
