task_id,task_type,quant,arm,ctx_media,quality_media,quality_std,n
T08,FACT,AWQ,naive,4988.0,1.0,0.0,3
T08,FACT,FP16,compaction,3982.0,1.0,0.0,3
T08,FACT,FP16,naive,5041.0,1.0,0.0,3
T09,CONSTRAINT,AWQ,compaction,4353.0,1.0,0.0,3
T09,CONSTRAINT,AWQ,naive,5325.0,1.0,0.0,3
T09,CONSTRAINT,FP16,compaction,4315.0,1.0,0.0,3
T09,CONSTRAINT,FP16,naive,5379.0,1.0,0.0,3
T10,DRAFT,AWQ,compaction,3692.0,1.0,0.0,3
T10,DRAFT,AWQ,naive,5598.0,1.0,0.0,3
T10,DRAFT,FP16,compaction,3661.0,1.0,0.0,3
T10,DRAFT,FP16,naive,5655.0,1.0,0.0,3
T11,RECALL,AWQ,compaction,4253.0,1.0,0.0,3
T11,RECALL,AWQ,naive,5870.0,1.0,0.0,3
T11,RECALL,FP16,compaction,4080.0,1.0,0.0,3
T11,RECALL,FP16,naive,5970.0,1.0,0.0,3
T12,FACT,AWQ,compaction,4428.0,1.0,0.0,3
T12,FACT,AWQ,naive,6042.0,1.0,0.0,3
T12,FACT,FP16,compaction,4254.0,1.0,0.0,3
T12,FACT,FP16,naive,6116.0,1.0,0.0,3
T13,SUMMARIZE,AWQ,compaction,4539.0,1.0,0.0,3
T13,SUMMARIZE,AWQ,naive,6175.0,1.0,0.0,3
T13,SUMMARIZE,FP16,compaction,4387.0,1.0,0.0,3
T13,SUMMARIZE,FP16,naive,6249.0,1.0,0.0,3
T14,RECALL,AWQ,compaction,3673.0,1.0,0.0,3
T14,RECALL,AWQ,naive,6282.0,1.0,0.0,3
T14,RECALL,FP16,compaction,4505.0,1.0,0.0,3
T14,RECALL,FP16,naive,6360.0,1.0,0.0,3
T15,SONDA,AWQ,compaction,3793.0,1.0,0.0,3
T15,SONDA,AWQ,naive,6380.0,0.5,0.0,3
T15,SONDA,FP16,compaction,3687.0,1.0,0.0,3
T15,SONDA,FP16,naive,6459.0,0.0,0.0,3
T16,RECALL,AWQ,compaction,3944.0,1.0,0.0,3
T16,RECALL,AWQ,naive,6452.0,1.0,0.0,3
T16,RECALL,FP16,compaction,3897.0,1.0,0.0,3
T16,RECALL,FP16,naive,6533.0,1.0,0.0,3
