quant,rep,naive_ordinary_energy_j,compact_ordinary_energy_j,ordinary_call_savings_j,compaction_tax_j,net_extra_compaction_j,break_even_observed
AWQ,1,11611.5823,11091.0626,520.5197,3962.1729,3441.6532,False
AWQ,2,11551.1155,11079.645,471.4705,3968.7804,3497.3099,False
AWQ,3,11588.6432,11098.6051,490.0381,3954.589,3464.5509,False
FP16,1,15684.8441,15819.6391,-134.795,6946.4822,7081.2772,False
FP16,2,15668.8597,15800.8206,-131.9609,6936.5891,7068.55,False
FP16,3,15660.9565,15834.2871,-173.3306,6950.7366,7124.0672,False
