quant,rep,task_index,task_id,naive_cumulative_j,compact_cumulative_j,compact_minus_naive_j
FP16,1,2,SONDA_A,754.1562,755.7522,1.596
FP16,1,3,T03,1294.6086,1301.7238,7.1152
FP16,1,4,T04,3499.0299,3511.7258,12.6959
FP16,1,5,T05,5263.014,5277.2964,14.2824
FP16,1,6,T06,5682.6248,5698.0169,15.3921
FP16,1,7,SONDA_B,5917.8219,7926.1374,2008.3155
FP16,1,8,T07,6770.6668,8680.4201,1909.7533
FP16,1,9,SONDA_D,7064.391,8906.2702,1841.8792
FP16,1,10,FACT_M1,7328.4394,9138.1827,1809.7433
FP16,1,11,SONDA_E,7576.4813,9347.3505,1770.8692
FP16,1,12,FACT_M2,7855.2637,9586.1181,1730.8544
FP16,1,13,SONDA_F,8104.0108,9794.2434,1690.2326
FP16,1,14,T08,8451.2217,10062.6378,1611.4161
FP16,1,15,SONDA_G,8685.4487,10263.5038,1578.0551
FP16,1,16,FACT_M3,8969.059,10498.0266,1528.9676
FP16,1,17,SONDA_H,9249.9672,10735.5705,1485.6033
FP16,1,18,T09,10312.255,11727.429,1415.174
FP16,1,19,SONDA_I,10592.3641,11961.7304,1369.3663
FP16,1,20,T10,12264.2234,16443.7883,4179.5649
FP16,1,21,T11,12638.0385,16860.6086,4222.5701
FP16,1,22,SONDA_J,12945.8196,17088.8004,4142.9808
FP16,1,23,SONDA_C,13236.8673,17322.856,4085.9887
FP16,1,24,T12,13755.4528,17747.19,3991.7372
FP16,1,25,T13,14448.6344,18385.0906,3936.4562
FP16,1,26,T14,14883.5229,18827.0663,3943.5434
FP16,1,27,T15,15349.6671,22384.8448,7035.1777
FP16,1,28,T16,15684.8441,22766.1213,7081.2772
FP16,2,0,T01,368.7926,366.3626,-2.43
FP16,2,1,T02,546.5011,544.7364,-1.7647
FP16,2,2,SONDA_A,747.184,745.3285,-1.8555
FP16,2,3,T03,1288.1418,1286.879,-1.2628
FP16,2,4,T04,3486.9421,3495.4545,8.5124
FP16,2,5,T05,5247.6184,5255.5006,7.8822
FP16,2,6,T06,5673.1879,5671.9601,-1.2278
FP16,2,7,SONDA_B,5913.3189,7893.5356,1980.2167
FP16,2,8,T07,6770.4368,8649.5724,1879.1356
FP16,2,9,SONDA_D,7067.3746,8877.1576,1809.783
FP16,2,10,FACT_M1,7332.5479,9109.175,1776.6271
FP16,2,11,SONDA_E,7581.6948,9318.3344,1736.6396
FP16,2,12,FACT_M2,7863.7335,9557.847,1694.1135
FP16,2,13,SONDA_F,8112.0699,9762.526,1650.4561
FP16,2,14,T08,8460.8305,10033.7438,1572.9133
FP16,2,15,SONDA_G,8698.1938,10236.4156,1538.2218
FP16,2,16,FACT_M3,8985.0046,10477.3672,1492.3626
FP16,2,17,SONDA_H,9266.9609,10715.3582,1448.3973
FP16,2,18,T09,10328.5399,11702.7942,1374.2543
FP16,2,19,SONDA_I,10600.0999,11933.952,1333.8521
FP16,2,20,T10,12268.4223,16409.4957,4141.0734
FP16,2,21,T11,12614.4016,16824.4261,4210.0245
FP16,2,22,SONDA_J,12930.129,17051.7256,4121.5966
FP16,2,23,SONDA_C,13219.1851,17288.1767,4068.9916
FP16,2,24,T12,13741.9289,17706.5126,3964.5837
FP16,2,25,T13,14430.0567,18348.3675,3918.3108
FP16,2,26,T14,14860.9865,18790.5386,3929.5521
FP16,2,27,T15,15322.2046,22350.4364,7028.2318
FP16,2,28,T16,15668.8597,22737.4097,7068.55
FP16,3,0,T01,369.4784,367.5818,-1.8966
FP16,3,1,T02,547.9931,545.0735,-2.9196
FP16,3,2,SONDA_A,749.0744,745.3541,-3.7203
FP16,3,3,T03,1289.8691,1287.566,-2.3031
FP16,3,4,T04,3492.2718,3501.7562,9.4844
FP16,3,5,T05,5243.6554,5267.6919,24.0365
FP16,3,6,T06,5662.9891,5683.9679,20.9788
FP16,3,7,SONDA_B,5900.5468,7915.8886,2015.3418
FP16,3,8,T07,6756.1999,8672.6001,1916.4002
FP16,3,9,SONDA_D,7050.5134,8900.9726,1850.4592
FP16,3,10,FACT_M1,7317.4945,9130.8035,1813.309
FP16,3,11,SONDA_E,7589.3834,9340.3481,1750.9647
FP16,3,12,FACT_M2,7857.9332,9579.9015,1721.9683
FP16,3,13,SONDA_F,8105.5918,9787.9997,1682.4079
FP16,3,14,T08,8452.3218,10061.2612,1608.9394
FP16,3,15,SONDA_G,8689.7009,10263.8581,1574.1572
FP16,3,16,FACT_M3,8976.6015,10505.5006,1528.8991
FP16,3,17,SONDA_H,9259.331,10747.3429,1488.0119
FP16,3,18,T09,10318.9893,11743.4112,1424.4219
FP16,3,19,SONDA_I,10589.3042,11971.9192,1382.615
FP16,3,20,T10,12260.7775,16456.8216,4196.0441
FP16,3,21,T11,12606.9515,16869.5785,4262.627
FP16,3,22,SONDA_J,12925.4214,17099.1536,4173.7322
FP16,3,23,SONDA_C,13213.6503,17332.388,4118.7377
FP16,3,24,T12,13736.6313,17757.2105,4020.5792
FP16,3,25,T13,14428.0937,18399.7077,3971.614
FP16,3,26,T14,14856.5626,18841.4681,3984.9055
FP16,3,27,T15,15320.9362,22401.8912,7080.955
FP16,3,28,T16,15660.9565,22785.0237,7124.0672
